"name","description","url","home","gmt_offset","timezone_string"
"University of Central Florida","An Emerging Preeminent Research University in Florida, 13 Colleges, 200+ Degree Programs in Orlando &amp; Online","https://www.ucf.edu","https://www.ucf.edu","0",""
"video.9tsu.com","","https://video.9tsu.com","https://video.9tsu.com","0",""
"Us Weekly","Latest Celebrity News, Pictures &amp; Entertainment","https://www.usmagazine.com","https://www.usmagazine.com","-5","America/New_York"
"Rock Paper Shotgun - PC Game Reviews, Previews, Subjectivity","","https://www.rockpapershotgun.com","https://www.rockpapershotgun.com","0","Europe/London"
"BuzzOrange","和我們一起把台灣變更好！《BuzzOrange 報橘》是具動員能量的政治公共社群，關注議題領域包括：全球民主/經濟發展、台灣內政/產業、台灣/中國競合議題、未來政府/數位治理，以及人權正義。","http://buzzorange.com","https://buzzorange.com","8","Asia/Taipei"
"ZoomBangla.com","Dreams a Positive Bangladesh","https://zoombangla.com","https://zoombangla.com","6","Asia/Dhaka"
"Washington University in St. Louis","","https://wustl.edu","https://wustl.edu","-6","America/Chicago"
"Department of Education","","https://www.deped.gov.ph","https://www.deped.gov.ph","0",""
"Torrent Movies","","https://torrentmovies.co","https://torrentmovies.co","0",""
"WooCommerce","The most customizable eCommerce platform for building your online business. Get started today for free.","https://woocommerce.com","https://woocommerce.com","2",""
"HoopsHype","","https://hoopshype.com","https://hoopshype.com","-5","America/New_York"
"University of Hawaii System","10 campuses across the Hawaiian Islands","https://www.hawaii.edu/wp","https://www.hawaii.edu","-10","Pacific/Honolulu"
"ロケットニュース24","ロケットニュース24は、あまり新しくないニュースを早く伝えたいという気持ちだけは負けていないサイトです。海外のニュースや、変なニュース、おもしろいニュースやネットでの出来事などを、８割くらいの力でお届けします。","https://rocketnews24.com","https://rocketnews24.com","9","Asia/Tokyo"
"Live Sicilia","","https://livesicilia.it","https://livesicilia.it","1","Europe/Rome"
"The Windows Club","TheWindowsClub covers Windows 10 tips, tutorials, how-to&#039;s, features, freeware. Created by Anand Khanse.","https://www.thewindowsclub.com","https://www.thewindowsclub.com","5.5",""
"كورة اون لاين - kora online - بث مباشر مباريات اليوم","موقع كورة اون لاين بث مباشر الموقع الرياضي الاول في الشرق الاوسط شاهد كل مباريات اليوم مجانا kora online كورة اونلاين بث مباشر مباريات اليوم كوره اونلاين koora online tv","https://kora-online.tv","https://kora-online.tv","2","Africa/Cairo"
"New Delhi Times","India&#039;s Only International Newspaper","https://www.newdelhitimes.com","https://www.newdelhitimes.com","5.5","Asia/Kolkata"
"Driver Easy","Best Driver Updater Software 2020","https://www.drivereasy.com","https://www.drivereasy.com","8","Asia/Shanghai"
"Discovery Education","Transforming the Future of Education","https://www.discoveryeducation.com","https://www.discoveryeducation.com","-5","America/New_York"
"Secretaria da Educação","Secretaria da Educação","https://www.seduc.ce.gov.br","https://www.seduc.ce.gov.br","-3",""
"Illuminate Education","The Education Intelligence Platform","https://www.illuminateed.com","https://www.illuminateed.com","-8","America/Los_Angeles"
"Majhi Naukri | माझी नोकरी","Latest Government Jobs In Maharashtra 2020","https://majhinaukri.in","https://majhinaukri.in","5.5","Asia/Kolkata"
"MANGA ZIP","無料ダウンロード漫画 (まんが)","http://manga-zip.net","http://manga-zip.net","0",""
"Proxy Of All Websites","Breaking all censorships and firewalls","https://proxyof2.com","https://proxyof2.com","0",""
"διαφορετικό","Ιστοσελίδα ενημέρωσης με νέα από την Ελλάδα και όλο τον Κόσμο.","https://www.diaforetiko.gr","https://www.diaforetiko.gr","2","Europe/Athens"
"Asian Porn Videos &amp; HD Sex videos","","http://asianxv.com","http://asianxv.com","0",""
"BinaryBusinessBay","Binary options, forex, cryptocurrency, moneymaking","https://binarybusinessbay.com","https://binarybusinessbay.com","0",""
"Ghafla!","Get The Latest Entertainment News From Africa","http://www.ghafla.com","http://www.ghafla.com","3","Africa/Nairobi"
"Cura Pela Natureza","Dicas que ajudam de verdade","https://www.curapelanatureza.com.br","https://www.curapelanatureza.com.br","-3","America/Sao_Paulo"
"9to5Mac","Apple News &amp; Mac Rumors Breaking All Day","https://9to5mac.com","https://9to5mac.com","-8","America/Los_Angeles"
"電腦王阿達","各種行動裝置與3C產品的專業評論站","https://www.kocpc.com.tw","https://www.kocpc.com.tw","8","Asia/Taipei"
"ClickBank","Tagline Here","https://www.clickbank.com","https://www.clickbank.com","-7","America/Boise"
"پارس فوتبال | خبرگزاری فوتبال ایران | ParsFootball","اولین خبرگزاری فوتبال ایران و اولین وب‌گاه تخصصی ورزش درایران، انجمنهای گفت و گو ، اخبار فوتبال ایران و جهان، کارشناسی","https://parsfootball.com","https://parsfootball.com","3.5","Asia/Tehran"
"NewsIT","Ειδήσεις σήμερα","https://www.newsit.gr","https://www.newsit.gr","2","Europe/Athens"
"The Points Guy","Maximize your travel.","https://thepointsguy.com","https://thepointsguy.com","-5","America/New_York"
"Supportive Guru","Guides For All Things Tech","https://sguru.org","https://sguru.org","5.5","Asia/Kolkata"
"Darada","Darada.co","https://mirsegondya.com","https://mirsegondya.com","0",""
"York University","Located in Toronto, York University is the 3rd largest university in Canada, with a community of 53000 students, 7000 faculty &amp; staff, and 295000+ alumni","https://www.yorku.ca","https://www.yorku.ca","-5","America/Toronto"
"نیک صالحی | پرتال اطلاع رسانی ، سرگرمی ، سینما و ...","نیک صالحی مطالب سرگرمی ، فال و طالع بینی ، دکوراسیون ، آشپزی ، گردشگری ، سینما ، دین و احکام ، بهداشت ، آرایش و زیبایی","https://www.niksalehi.com","https://www.niksalehi.com","3.5","Asia/Tehran"
"La iguana TV","&quot;Portal de análisis e información sobre noticias y actualidad política en Venezuela y el mundo&quot;","https://www.laiguana.tv","https://www.laiguana.tv","-4",""
"Frontline Education","School administration software to proactively manage your people and processes for greater student success.","https://www.frontlineeducation.com","https://www.frontlineeducation.com","-5","America/New_York"
"Creative COW","Creative Communities of the World - The peer to peer support community for media production professionals.","https://creativecow.net","https://creativecow.net","0",""
"Reader&#039;s Digest","","https://www.rd.com","https://www.rd.com","-5","America/New_York"
"Allcalidad | Descargar películas Completas por torrent En español Latino HD","Descargar peliculas gratis por torrent, En Allcalidad Podrás encontrar los últimos estrenos en alta definición (1080p, 4K)","https://allcalidad.la","https://allcalidad.la","1","Europe/Madrid"
"MisionesOnline","Defendiendo los intereses misioneros","https://misionesonline.net","https://misionesonline.net","-3","America/Argentina/Buenos_Aires"
"無料ホームシアター","","http://mhometheater.com","http://mhometheater.com","9","Asia/Tokyo"
"VG247","VG247.com","https://www.vg247.com","https://www.vg247.com","0","Europe/London"
"Le Livros","Faça o download de livros em Epub, PDF e mobi. São livros para iPad, Android, kindle e Kobo.","https://lelivros.love","https://lelivros.love","-3","America/Sao_Paulo"
"Remolacha - Noticias Republica Dominicana","El Blog #1 de los dominicanos","https://remolacha.net","https://remolacha.net","-4","America/Santo_Domingo"
"University of Connecticut","","https://uconn.edu/wordpress","https://uconn.edu","0",""
"The Mercury News","","https://www.mercurynews.com","https://www.mercurynews.com","-8","America/Los_Angeles"
"UPPCL Blog","All EDU News &amp; Update","https://uppcl.net.in","https://uppcl.net.in","5.5",""
"نسائم نيوز","قراءة أخبار اليوم","https://www.nsaem.news","https://www.nsaem.news","3",""
"TVLine","TV News, Previews, Spoilers, Casting Scoop, Interviews","https://tvline.com","https://tvline.com","-8","America/Los_Angeles"
"LINE WORKS","Business collaboration &amp; communication service - LINE WORKS","https://line.worksmobile.com/jp/en","https://line.worksmobile.com/jp/en","9","Asia/Seoul"
"ICO Drops","The ICO list being updated every day with an analysis and a rating system. Not a bu****it, not a SCAM.","https://icodrops.com","https://icodrops.com","3",""
"blender.org","Home of the Blender project - Free and Open 3D Creation Software","https://www.blender.org","https://www.blender.org","1","Europe/Amsterdam"
"Boing Boing","A directory of mostly wonderful things","https://boingboing.net","https://boingboing.net","-8","America/Los_Angeles"
"MangaDex Hosting","A free blog hosting service for groups","https://mangadex.com","https://mangadex.com","0",""
"ポッカキット","WORLD NEWS BLOG","http://www.po-kaki-to.com","http://www.po-kaki-to.com","9","Asia/Tokyo"
"NoodleTools","","https://www.noodletools.com/wp","https://www.noodletools.com","-8","America/Los_Angeles"
"altsantiri","Αληθινές ειδήσεις","https://www.altsantiri.gr","https://www.altsantiri.gr","2","Europe/Athens"
"Publinews","Noticias de Guatemala","https://www.publinews.gt/gt","https://www.publinews.gt/gt","-6","America/Guatemala"
"یکتانت","بزرگترین پلتفرم تبلیغات آنلاین در ایران","https://www.yektanet.com","https://www.yektanet.com","0",""
"پرشین وی | پرتال عمومی و سرگرمی فارسی ، اخبار سینما ، مد و سبک زندگی","پرشین وی |  پرتال جامع فارسی ، سبک زندگی ، فرهنگ و هنر، سرگرمی ، جدیدترین خبرها از دنیای بازیگران سینما و تلویزیون ، دکوراسیون منزل","https://persianv.com","https://persianv.com","3.5","Asia/Tehran"
"龋齿一号GFXCamp","CG营地|高速下载最新CG素材资源","http://www.gfxcamp.com","","",""
"META Solutions","","https://www.metasolutions.net","https://www.metasolutions.net","-5","America/New_York"
"Georgetown University","","https://www.georgetown.edu","https://www.georgetown.edu","-5","America/New_York"
"Explicandoo","A News Blog","https://explicandoo.com","https://explicandoo.com","0",""
"VentureBeat","Transformative tech coverage that matters","https://venturebeat.com","https://venturebeat.com","-8","America/Los_Angeles"
"INSIGHTSIAS","Simplifying UPSC IAS Preparation","https://www.insightsonindia.com","https://www.insightsonindia.com","5.5",""
"ایران ناز","سایت سرگرمی، تفریحی، جالب، خواندنی، عکس، اس ام اس، پزشکی","http://www.irannaz.com","http://www.irannaz.com","3.5","Asia/Tehran"
"Watch Movies Online","Free Full Movie","http://vexmovies.org","http://vexmovies.org","0",""
"سيرا اون لاين","موقع سيرا اون لاين لمشاهدة المسلسلات و الافلام الاجنبية المترجمة عربي مشاهده مباشرة اون لاين بالاضافة لمشاهده الانمي المترجم عربي اون لاين بجودة عاليه و عده جودات للتحميل سيما كلوب فاصل اعلاني سيما فور يو انمي ليك ايجي بيست","https://cera.video","https://cera.video","0","UTC"
"Universal.org - Portal Oficial da Igreja Universal do Reino de Deus","Bem vindo ao portal Universal.org, o novo portal da Igreja Universal, aqui você encontrará informações sobre comportamento cristão, estudos bíblicos, a folha universal, diversão, dicas e muito mais.","https://www.universal.org","https://www.universal.org","-3","America/Sao_Paulo"
"CG Persia","","https://cgpersia.com","https://cgpersia.com","0","UTC"
"The Financial Express","Business News: Business News Today, Live Business News, Financial News India, Latest Business News","https://www.financialexpress.com","https://www.financialexpress.com","5.5","Asia/Kolkata"
"d20PFSRD","","http://www.d20pfsrd.com","https://www.d20pfsrd.com","0",""
"ReleaseBB","Daily Source Of Awesome Stuff","http://rlsbb.ru","http://rlsbb.ru","1","Europe/Amsterdam"
"Ver Series Online Gratis Español Latino HD","SerieSyPelis24.com Podrás ver series y películas completamente gratis Idioma Subtitulado Español Latino HD, Entre ahora y comienza a ver tu serie o pelicula favorita en esta web :-).","https://seriesypelis24.com","https://seriesypelis24.com","0",""
"Magoosh","Online Test Prep for GMAT, GRE, TOEFL, SAT, ACT, LSAT, MCAT and Praxis","https://magoosh.com","https://magoosh.com","0",""
"9Minecraft | Minecraft Mod","minecraft, minecraft 1.16.4, minecraft 1.16.3, minecraft 1.16.2, minecraft 1.16.1, minecraft 1.15.2, minecraft 1.14.4, minecraft 1.13.2, minecraft 1.12.2, minecraft 1.11.2, minecraft 1.10.2, minecraft 1.7.10, minecraft mods, minecraft resource packs, minecraft texture packs, minecraft maps, command creations, minecraft data packs, command blocks","http://www.9minecraft.net","http://www.9minecraft.net","-5","America/New_York"
"Bajalo Gratis","Descargar Peliculas Gratis en Español Latino","http://bajalogratis.com","http://bajalogratis.com","-3","America/Argentina/Buenos_Aires"
"NBC10 Philadelphia","Philadelphia News, Local News, Weather, Traffic, Entertainment, and Breaking News","https://www.nbcphiladelphia.com","https://www.nbcphiladelphia.com","-5","America/New_York"
"The Denver Post","Colorado breaking news, sports, business, weather, entertainment.","https://www.denverpost.com","https://www.denverpost.com","-7","America/Denver"
"SuNoticiero","","http://sunoticiero.com","http://sunoticiero.com","-4","America/Caracas"
"Wimp.com","- Amazing Videos, Funny Clips","https://www.wimp.com","https://www.wimp.com","-6","America/Chicago"
"TheWrap","Covering Hollywood","https://www.thewrap.com","https://www.thewrap.com","-8","America/Los_Angeles"
"Most Trusted Voice in Music &amp; Afrobeats from Nigeria &amp; Africa | Notjustok","Notjustok is Most Trusted Voice in Music &amp; Afrobeats from Naija &amp; Africa where you get best DJ Mix, Videos, Entertainment News &amp; Top Afrobeats from Nigeria","https://notjustok.com","https://notjustok.com","1",""
"SharewareOnSale","Daily free giveaways for Windows, Android, Mac, and iPhone!","https://sharewareonsale.com","https://sharewareonsale.com","-8","America/Los_Angeles"
"XVM: мод для World of Tanks | Официальный сайт","Официальный сайт. Скачивание и документация.","https://modxvm.com","https://modxvm.com","3","Europe/Moscow"
"McMaster University","","http://www.mcmaster.ca","https://www.mcmaster.ca","-5","America/Toronto"
"Православная энциклопедия Азбука веры","","https://azbyka.ru","https://azbyka.ru","3",""
"Flexmls Platform by FBS","","https://flexmls.com/wp","https://flexmls.com","-7",""
"MyBroadband","MyBroadband is South Africa&#039;s biggest and best IT news website, covering the latest international and local IT and tech news.","https://mybroadband.co.za/news","https://mybroadband.co.za/news","2",""
"Epa.com.py","Epa! - Noticias del Espectáculo. Famosos, TV y más.","http://www.epa.com.py","http://www.epa.com.py","-5",""
"REET 2020 (Rajasthan Teacher Eligibility Test) RTET~2020 Latest Information","Get all info updates of REET 2020 Notification, Application Form, Result, Answer Key, Admit Card etc. RTET/REET 2020 Updates from reetbser.com","https://reetbser.com","https://reetbser.com","5.5","Asia/Kolkata"
